idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"63300062";;"371658";"2008428";"27572";"33067";"BOURG";"1974-02-01";"La Citadelle";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.561051555509418987";"45.0385810075996034";
"20300299";;"409803.700000000012";"1981946.80000000005";"27572";"33460";"SAINT-PEY-DE-CASTETS";"1998-01-23";"cote de st pey";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.0670454800000000045";"44.8120959999999968";
"63300227";;"375762";"1980503";"27572";"33234";"LATRESNE";"1931-03-01";"Castéra - Basque Sud";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.496249391734394973";"44.7889168816547993";
"63300249";;"407485";"1979905";"27572";"33282";"MERIGNAS";"1991-12-01";"Le Bergey";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.0955347729602133017";"44.7930981137066979";
"63300023";;"368154";"2010003";"27572";"33035";"BAYON-SUR-GIRONDE";"1973-01-01";"La Reuille";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.606223373163823021";"45.0515675339777033";
"63300033";;"368190";"2009970";"27572";"33035";"BAYON-SUR-GIRONDE";"1958-01-01";"La Reuille";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.605751182763657026";"45.0512830251943015";
"63300240";;"375540";"1980873";"27572";"33234";"LATRESNE";"1900-01-01";"Route de Bordeaux";"2";"Chute de blocs / Eboulement";"1";"Fort";"8";"Récurrent";"3";"Hectomètre";"-0.499220101072903988";"44.7921705854045982";
"63300239";;"375670";"1980233";"27572";"33234";"LATRESNE";"2006-05-31";"Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.497287669371208996";"44.7864601870152015";
"63300019";;"367878";"2010223";"27572";"33035";"BAYON-SUR-GIRONDE";"1762-02-02";"La Roque - Mange Gain";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.609827961327902957";"45.0534520705218";
"63300009";;"382955";"1998167";"27572";"33016";"ASQUES";"1984-02-01";"Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.413260843500762975";"44.9499938815515989";
"63300008";;"382976";"1998204";"27572";"33016";"ASQUES";"1983-01-01";"Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.413011400268450013";"44.9503330946328035";
"63300007";;"383171";"1998409";"27572";"33016";"ASQUES";"1872-12-01";"Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.410633641146734008";"44.9522372406378992";
"63300067";;"371801";"2008472";"27572";"33067";"BOURG";"1988-01-01";"La Citadelle";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.559259128797651051";"45.039023929624399";
"63300065";;"369936";"2008891";"27572";"33067";"BOURG";"1984-01-01";"Pain de Sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.583101499010995949";"45.0421696851508031";
"63300032";;"368179";"2009978";"27572";"33035";"BAYON-SUR-GIRONDE";"1988-02-01";"La Reuille";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.605894472952372976";"45.0513512318819025";
"63300365";;"369853.599999999977";"1966754.25";"27572";"33501";"SAUCATS";"1990-01-01";"Moulin de Bernachon";"2";"Chute de blocs / Eboulement";"1";"Fort";"5";"Décennie";"2";"Décamètre";"-0.564409061781813048";"44.663402548633897";
"63300060";;"370013";"2008839";"27572";"33067";"BOURG";"1956-02-01";"Pain de Sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.582100720199618005";"45.0417279855154007";
"63300387";;"403140.799999999988";"1991145.875";"27572";"33394";"SAINT-EMILION";"2002-04-12";"Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"1";"Mètre";"-0.154878516120257992";"44.8929311605046024";
"63300175";;"366274";"2012302";"27572";"33182";"GAURIAC";"1997-02-01";"Marmisson";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.631164803357863957";"45.0715970065949989";
"20300213";;"386069";"1968737";"27572";"33311";"PAILLET";"1998-06-01";"PITAUT";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"5";"Commune";"-0.361044849999999973";"44.6864199999999983";
"63300069";;"371008";"2008933";"27572";"33067";"BOURG";"1988-03-01";"Cambes";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.569529280693231055";"45.0429045816186999";
"20300034";;"368225.099999999977";"2009998.5";"27572";"33035";"BAYON-SUR-GIRONDE";"1993-01-01";"la reuille (RD)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.605320630000000026";"45.0515479999999968";
"20300021";;"368177.200000000012";"2009822.5";"27572";"33035";"BAYON-SUR-GIRONDE";"1963-01-01";"la reuille (maison)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.605845749999999961";"45.0499500000000026";
"12000044";;"427200";"6409028";"2154";"33033";"BAURECH";"2006-03-16";"Borde";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.44624999999999998";"44.7267900000000012";
"20300027";;"367779.799999999988";"2010329.10000000009";"27572";"33035";"BAYON-SUR-GIRONDE";"1977-01-01";"roque pigeon";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.611121200000000031";"45.0543699999999987";
"63300168";;"367296";"2010783";"27572";"33182";"GAURIAC";"1992-12-07";"Vitescale";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.617475571200069018";"45.0582893124744004";
"20300035";;"368532.400000000023";"2009960.89999999991";"27572";"33035";"BAYON-SUR-GIRONDE";"1993-01-01";"reuille";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.60141003000000004";"45.0513150000000024";
"20300293";;"395719.5";"1954785.5";"27572";"33435";"SAINT-MACAIRE";"1941-02-01";"le bourg (château imberd)";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.233685699999999996";"44.5639299999999992";
"20300036";;"368277.099999999977";"2009958.10000000009";"27572";"33035";"BAYON-SUR-GIRONDE";"1994-01-01";"la reuille (maison)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.604642299999999966";"45.0512050000000031";
"20300235";;"375294.200000000012";"1975892.60000000009";"27572";"33349";"QUINSAC";"1982-12-01";"La Bigaresse";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.500055130000000014";"44.7473299999999981";
"20300052";;"397514.299999999988";"1939140.39999999991";"27572";"33036";"BAZAS";"1996-01-01";"haoua (AH n°259)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.20476511";"44.4238240000000033";
"63300149";;"366108";"2012492";"27572";"33182";"GAURIAC";"1978-01-01";"Marmisson";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"2";"Décamètre";"-0.633361706231682975";"45.0732484777921982";
"20300030";;"368484";"2009960.89999999991";"27572";"33035";"BAYON-SUR-GIRONDE";"1982-01-01";"reuille";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.602018700000000018";"45.0512999999999977";
"20300046";;"397698.200000000012";"1939271.5";"27572";"33036";"BAZAS";"1991-01-01";"haoua (n°241)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.202510909999999988";"44.425063999999999";
"63300142";;"366893";"2011326";"27572";"33182";"GAURIAC";"1912-01-01";"La Mayanne";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.622846042257496957";"45.0630338728687008";
"20300049";;"397685";"1939179.5";"27572";"33036";"BAZAS";"1993-01-01";"haoua (n°86)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.202636659999999996";"44.4242320000000035";
"20300068";;"370038.799999999988";"2008811.19999999995";"27572";"33067";"BOURG";"1982-01-01";"pain de sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"5";"Commune";"-0.58175790000000005";"45.0414850000000015";
"20300069";;"369766.700000000012";"2008891.39999999991";"27572";"33067";"BOURG";"1983-01-01";"pain de sucre (2001)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"5";"Commune";"-0.585244239999999971";"45.042113999999998";
"20300050";;"397199.200000000012";"1940952.39999999991";"27572";"33036";"BAZAS";"1996-01-10";"mon plaisir";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.209452389999999988";"44.440018000000002";
"20300054";;"397514.299999999988";"1939048.39999999991";"27572";"33036";"BAZAS";"1991-01-26";"haoua";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.204727779999999998";"44.4229970000000023";
"20300055";;"364156.900000000023";"2017864.39999999991";"27572";"33058";"BLAYE";"1984-01-01";"bacalan";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.660711770000000032";"45.1208699999999965";
"10200402";;"425999";"6409817";"2154";"33084";"CAMBES";"2021-02-06";"Ramonet - Chemin de l'Eglise";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.461839999999999973";"44.7334200000000024";
"12000065";;"431902";"6405753";"2154";"33226";"LANGOIRAN";"2014-07-18";"Lagarue";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.385149999999999992";"44.6991700000000023";
"12000064";;"431681";"6405925";"2154";"33226";"LANGOIRAN";"2014-02-01";"La Gardéra";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.388029999999999986";"44.7006299999999968";
"10200969";;"-0.629179999999999962";"45.0793299999999988";"4326";"33551";"VILLENEUVE";;"les Allants";"2";"Chute de blocs / Eboulement";"1";"Fort";"0";"Inconnue";"1";"Mètre";"-0.629179999999999962";"45.0793299999999988";
"12000062";;"431623";"6405941";"2154";"33226";"LANGOIRAN";"2014-07-25";"La Gardera";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.388770000000000004";"44.7007499999999993";
"12000059";;"430810";"6407013";"2154";"33226";"LANGOIRAN";"2013-06-09";"Pied du Rocher";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.399610000000000021";"44.7100799999999978";
"12000058";;"430939";"6407031";"2154";"33226";"LANGOIRAN";"2013-06-09";"Pied du Rocher";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.39799000000000001";"44.7102900000000005";
"63300283";;"406748";"1957041";"27572";"33102";"CASSEUIL";"1900-01-01";"Tuillerie";"2";"Chute de blocs / Eboulement";"1";"Fort";"0";"Inconnue";"3";"Hectomètre";"-0.0959008121174085987";"44.5873561302143031";
"12000048";;"425572";"6409841";"2154";"33084";"CAMBES";"1952-01-01";"Chemin des escaliers parcelle AH 23";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"2";"Décamètre";"-0.467239999999999989";"44.7334600000000009";
"20300223";;"376190.200000000012";"2008268.89999999991";"27572";"33339";"PRIGNAC-ET-MARCAMPS";"1992-11-16";"grotte de ""pAIR non pAIR""";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.503519240000000035";"45.0386400000000009";
"12000047";;"425506";"6409885";"2154";"33084";"CAMBES";"2006-10-01";"Mauras parcelle AH 11";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.468100000000000016";"44.7338299999999975";
"20300120";;"373923.400000000023";"1985141.89999999991";"27572";"33167";"FLOIRAC";"1998-04-01";"la souyse";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"5";"Commune";"-0.52159180000000005";"44.830016999999998";
"12000046";;"425451";"6409919";"2154";"33084";"CAMBES";"2005-01-01";"Chemin des escalier parcelle AH 338";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"2";"Décamètre";"-0.468810000000000004";"44.7341199999999972";
"10200971";;"-0.63041999999999998";"45.0795299999999983";"4326";"33551";"VILLENEUVE";;"les Allants";"2";"Chute de blocs / Eboulement";"1";"Fort";"0";"Inconnue";"1";"Mètre";"-0.63041999999999998";"45.0795299999999983";
"63300161";;"366882";"2011340";"27572";"33182";"GAURIAC";"1991-10-15";"La Mayanne";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.622992251092970961";"45.0631559905926977";
"63300145";;"366641";"2011783";"27572";"33182";"GAURIAC";"1945-05-01";"Poyanne";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.626260916506378051";"45.0670563608068022";
"20300183";;"375698.200000000012";"1980454.80000000005";"27572";"33234";"LATRESNE";"2000-04-22";"Basque Sud";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.497035349999999987";"44.7884639999999976";
"10200934";;"-0.517490000000000006";"45.0374300000000005";"4326";"33525";"TAURIAC";"2024-06-19";"la Lustre";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"1";"Mètre";"-0.517490000000000006";"45.0374300000000005";
"63300214";;"384125";"1970317";"27572";"33226";"LANGOIRAN";"1941-01-01";"Le Pied du Château";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.386228647450092999";"44.7000188804519993";
"63300215";;"384679";"1970029";"27572";"33226";"LANGOIRAN";"1986-02-02";"Le Pied du Château";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.379121241315186985";"44.6976025791990992";
"63300216";;"383903";"1970419";"27572";"33226";"LANGOIRAN";"1985-12-01";"Gardera";"2";"Chute de blocs / Eboulement";"1";"Fort";"3";"Saison";"3";"Hectomètre";"-0.389071049977919026";"44.700866500554902";
"63300321";;"402981.5";"1990748.25";"27572";"33394";"SAINT-EMILION";"1961-04-01";"Château Ausone";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.156729687338021006";"44.8893077490664965";
"63300147";;"366293";"2012264";"27572";"33182";"GAURIAC";"1947-01-01";"Marmisson";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.630905569453938053";"45.0712618849938025";
"10200933";;"-0.019560000000000001";"44.5781100000000023";"4326";"33352";"LA REOLE";"2024-06-20";"le Priou";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"1";"Mètre";"-0.019560000000000001";"44.5781100000000023";
"10200427";;"-0.0711799999999999933";"44.5797499999999971";"4326";"33352";"LA REOLE";"2021-04-01";"L'Ilet Nord";"2";"Chute de blocs / Eboulement";"1";"Fort";"11";"Quinzaine";"2";"Décamètre";"-0.0711799999999999933";"44.5797499999999971";
"20300031";;"368225.200000000012";"2009854.60000000009";"27572";"33035";"BAYON-SUR-GIRONDE";"1986-01-01";"la reuille (maison)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.605252739999999956";"45.0502619999999965";
